,company,href
0,TATAM,http://www.livemint.com/Companies/uBjMztpUXe0TSqvrlwd39L/Its-testing-time-for-Tata-group-independent-directors-SES.html
0,TCS,http://www.livemint.com/Companies/uBjMztpUXe0TSqvrlwd39L/Its-testing-time-for-Tata-group-independent-directors-SES.html
0,TP,http://www.livemint.com/Companies/uBjMztpUXe0TSqvrlwd39L/Its-testing-time-for-Tata-group-independent-directors-SES.html
0,OTHERS,http://www.livemint.com/Industry/gqs3cSQgmOsZT0NeSU9GeJ/Oil-tumbles-as-Donald-Trump-leads-US-election-in-potential-B.html
0,ONGC,http://www.livemint.com/Industry/u37KsRUJe3SZzGrb2qBKOK/CairnONGC-deal-Delhi-HC-gives-Centre-one-last-chance.html
0,OTHERS,http://www.livemint.com/Companies/coPcc4KKMyYKPYYwlo7ukJ/In-firms-PCs-and-smartphones-coexist-in-a-multidevice-worl.html
0,OTHERS,http://www.livemint.com/Companies/HopZtiyhtQkhttZeSIi2vL/Demonetization-a-bold-move-but-could-hurt-markets-for-next.html
0,OTHERS,http://www.livemint.com/Companies/6FQRcaBZiP9riem8jScm5H/TVS-CMD-Venu-Srinivasan-joins-Sir-Dorabji-Tata-Trust-as-trus.html
0,OTHERS,http://www.livemint.com/Companies/6FQRcaBZiP9riem8jScm5H/TVS-CMD-Venu-Srinivasan-joins-Sir-Dorabji-Tata-Trust-as-trus.html
0,TP,http://www.livemint.com/Companies/6FQRcaBZiP9riem8jScm5H/TVS-CMD-Venu-Srinivasan-joins-Sir-Dorabji-Tata-Trust-as-trus.html
0,OTHERS,http://www.livemint.com/Companies/qJVS8NsWdQWDlZyJpQem0M/60-of-British-firms-say-they-may-increase-their-investment.html
0,YB,http://www.livemint.com/Companies/aNlSyx6u7kkwMjESbc2CqN/BBC-has-an-amazing-growth-area-in-India-Tim-Davie.html
0,OTHERS,http://www.livemint.com/Companies/aNlSyx6u7kkwMjESbc2CqN/BBC-has-an-amazing-growth-area-in-India-Tim-Davie.html
0,OTHERS,http://www.livemint.com/Companies/qJVS8NsWdQWDlZyJpQem0M/60-of-British-firms-say-they-may-increase-their-investment.html
0,YB,http://www.livemint.com/Companies/aNlSyx6u7kkwMjESbc2CqN/BBC-has-an-amazing-growth-area-in-India-Tim-Davie.html
0,OTHERS,http://www.livemint.com/Companies/aNlSyx6u7kkwMjESbc2CqN/BBC-has-an-amazing-growth-area-in-India-Tim-Davie.html
0,OTHERS,http://www.livemint.com/Companies/kw8JHhSWz3rFYoh9HydzjO/RBL-Bank-in-talks-to-hire-Citi-executive.html
0,TATAM,http://www.livemint.com/Companies/oQZzLk3MfdxNik2CRdYXGM/TCS-appoints-Ishaat-Hussain-as-chairman-in-place-of-Cyrus-Mi.html
0,TCS,http://www.livemint.com/Companies/oQZzLk3MfdxNik2CRdYXGM/TCS-appoints-Ishaat-Hussain-as-chairman-in-place-of-Cyrus-Mi.html
0,TCS,http://www.livemint.com/Companies/oQZzLk3MfdxNik2CRdYXGM/TCS-appoints-Ishaat-Hussain-as-chairman-in-place-of-Cyrus-Mi.html
