,company,href
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/sensex-ends-91-points-higher-on-rbi-rate-cut-sbi-surges-2/articleshow/54676043.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/sensex-ends-91-points-higher-on-rbi-rate-cut-sbi-surges-2/articleshow/54676043.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/top-10-rate-sensitive-stocks-to-buy-post-rbi-monetary-policy-review/articleshow/54674560.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/top-10-rate-sensitive-stocks-to-buy-post-rbi-monetary-policy-review/articleshow/54674560.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/rbi-slashes-repo-rate-by-25-bps-top-six-takeaways-from-monetary-policy/articleshow/54674956.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/sensex-rallies-over-150-points-nifty50-reclaims-8800-mcx-surges-11/articleshow/54575451.cms
0,IDEA,http://economictimes.indiatimes.com/markets/stocks/news/buy-or-sell-ideas-by-experts-for-morning-trade-on-thursday-29-september-2016/articleshow/54575979.cms
0,OTHERS,http://economictimes.indiatimes.comhttp://economictimes.indiatimes.com/track-sensex-nifty-live-whos-moving-my-market-today/liveblog/54575866.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/tech-view-nifty50-forms-bearish-belt-hold-a-break-below-8730-could-trigger-carnage/articleshow/54696843.cms
0,AX,http://economictimes.indiatimes.com/markets/stocks/news/market-ends-lower-on-global-cues-ongc-axis-bank-top-losers/articleshow/54696302.cms
0,ONGC,http://economictimes.indiatimes.com/markets/stocks/news/market-ends-lower-on-global-cues-ongc-axis-bank-top-losers/articleshow/54696302.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/rbi-rate-cut-a-leg-up-to-discretionary-play-fmcg-still-in-dismay/articleshow/54695385.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/most-asia-stocks-down-as-ecb-policy-fears-return/articleshow/54695327.cms
0,REL,http://economictimes.indiatimes.com/markets/stocks/news/over-1000-fresh-fpis-register-in-april-july-2016-17/articleshow/54694171.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/over-1000-fresh-fpis-register-in-april-july-2016-17/articleshow/54694171.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/jpmorgan-sees-nifty50-at-mt-10k-by-2017-says-good-time-to-buy-on-dips/articleshow/54693881.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/bse-to-penalise-brokers-for-delay-in-supervisory-data-filing/articleshow/54693616.cms
0,OTHERS,http://economictimes.indiatimes.comhttp://economictimes.indiatimes.com/track-sensex-nifty-live-look-who-is-moving-my-market/liveblog/54688214.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/mpc-discussions-were-frank-often-intense-but-always-friendly-patel/articleshow/54688191.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/mpc-discussions-were-frank-often-intense-but-always-friendly-patel/articleshow/54688191.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/rbi-may-go-for-fewer-open-market-operations/articleshow/54688130.cms
0,YB,http://economictimes.indiatimes.com/markets/stocks/news/living-on-interest-income-look-at-government-savings-bonds/articleshow/54688036.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/living-on-interest-income-look-at-government-savings-bonds/articleshow/54688036.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/need2know-morning-update-on-six-macro-cues-that-may-matter-to-you/articleshow/54687887.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/need2know-morning-update-on-six-macro-cues-that-may-matter-to-you/articleshow/54687887.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/need2know-morning-update-on-six-macro-cues-that-may-matter-to-you/articleshow/54687887.cms
