id,date,intro,title
rdXEVhHTfMTF32v0v4BE8K,"Sat, Feb 04 2017. 12 07 PM",Centre says the cleaning operation in Chennai oil spill will be finished in a couple of days as a total of 65 tonnes of sludge is removed and over 90% of work is completed,"Chennai oil spill: Over 90% of clean-up work over, says Centre"
BmIhXJ1A0UoE6r6J9TrgyK,"Fri, Feb 03 2017. 11 50 PM","Home-based solar systems or local energy units built with solar panels, batteries and computers will give rise to a new energy infrastructure that will become mainstream",Renewables: the future is here
JzVEaqQ80n0gMEu7c8C0TJ,"Fri, Feb 03 2017. 02 48 AM",Power minister Piyush Goyal says the provision for budgetary support will be invoked as a last resort as it was vital for hydropower projects to be self sustaining,Revival package for stalled hydropower projects soon: Piyush Goyal
7pfJ8awsAQPtaDSZjQ6SmK,"Fri, Feb 03 2017. 02 55 PM","Toshiba plans to withdraw from its lead role in projects to build nuclear plants in Britain and India, marking a retreat as it wrestles with an imminent multi-billion dollar writedown","Toshiba seeks exit from UK, India in nuclear retreat: report"
XPfj4gzdu400g2ZZok5RML,"Thu, Feb 02 2017. 04 07 PM",Brent crude prices were up 5 cents at $56.85 a barrel by 2.55pm after settling up $1.22 in the previous session,Oil prices steady after sharp rise in US stockpiles
fy5nTXrGWaQIIshcdz8jvL,"Thu, Feb 02 2017. 03 15 PM",The government will deploy flying camera drones to track renegades who for years have been extracting everything from sand to coal to iron ore without permits,Catching illegal sand men is key to make mining pay off in India 
bu0HSMmoKYe64r5MFnVGHO,"Fri, Feb 03 2017. 09 52 PM","The DGCA took action against 422 pilots and crew members, up from 275 in 2015","Air safety violations by pilots, crew jumped 53% in 2016: DGCA"
FKlz91FM5Xjldg3rKBjXcN,"Fri, Feb 03 2017. 06 10 PM","Jindal Steel is seeking to value the asset, located in Tamnar in Chhattisgarh, at more than Rs10,000 crore, people with knowledge of the matter said",Jindal Steel and Power in talks to sell Chhattisgarh power plant for over $1.5 billion
H9Uevgb4Dcmqk9wm11Q5GO,"Fri, Feb 03 2017. 08 24 PM","In 2015-16, a total of 5,097 companies incurred a corporate social responsibility expenditure of Rs9,822.30 crore with private sector accounting for the major chunk","Companies spent over Rs18,600 crore towards CSR in 2 years"
JgBsZLhaevevLHnmTxqNzH,"Fri, Feb 03 2017. 07 47 PM","Amazon is likely to invest about Rs3,400 crore for the purpose; its application is being considered by the commerce and industry ministry","Amazon seeks nod to sell online food products produced, manufactured in India"
BY9RCUQOkNAPnxvKkLgg1I,"Fri, Feb 03 2017. 12 36 PM",Wilful defaulter Vijay Mallya claims that he is being made a pawn in a political game between the ruling BJP-led NDA and the Congress-led UPA ,"Vijay Mallya slams CBI, ED on Twitter for hounding him on trumped-up charges"
